cluster_type,cluster_id,center_values
features,0,"[0.3486159420810568, -1.1102230246251565e-16, 1.0, 0.035714285714285705, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, 0.035714285714285705, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, 0.035714285714285705, 0.035714285714285705, 0.03571428571428571, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, 0.035714285714285705, 0.035714285714285705, 0.035714285714285705, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, 0.035714285714285705, -1.734723475976807e-18, -1.734723475976807e-18, 0.035714285714285705, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, 0.035714285714285705, 0.035714285714285705, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, 0.035714285714285705, 0.035714285714285705, -1.734723475976807e-18, -1.734723475976807e-18, 0.035714285714285705, -1.734723475976807e-18, -1.734723475976807e-18, 0.035714285714285705, -1.734723475976807e-18, 0.03571428571428571, -1.734723475976807e-18, -1.734723475976807e-18, 0.035714285714285705, 0.035714285714285705, 0.035714285714285705, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, 0.035714285714285705, 0.035714285714285705, -1.734723475976807e-18, 0.035714285714285705, -1.734723475976807e-18, -1.734723475976807e-18, 0.035714285714285705, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, 0.035714285714285705, -1.734723475976807e-18, 0.03571428571428571, -1.734723475976807e-18, -1.734723475976807e-18, 0.035714285714285705, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, 0.035714285714285705, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18]"
features,1,"[-1.0754045140140296, 0.9999999999999999, 1.1102230246251565e-16, 0.0, 0.06666666666666665, 0.0, 0.0, 0.06666666666666665, 0.06666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06666666666666665, 0.0, 0.0, 0.0, 0.06666666666666665, 0.0, 0.0, 0.06666666666666665, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06666666666666665, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06666666666666665, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.0, 0.06666666666666665, 0.06666666666666667, 0.06666666666666667, 0.0]"
features,2,"[1.678815892044144, 0.2727272727272728, 0.7272727272727272, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 0.0909090909090909, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 0.0909090909090909, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 0.0909090909090909, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 0.09090909090909091, 1.734723475976807e-18, 1.734723475976807e-18, 0.0909090909090909, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 0.0909090909090909, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 0.0909090909090909, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 0.0909090909090909, 1.734723475976807e-18, 1.734723475976807e-18, 0.09090909090909091, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 0.09090909090909091, 0.0909090909090909, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18]"
features,3,"[-0.9960494511911598, -1.1102230246251565e-16, 1.0, -1.734723475976807e-18, -1.734723475976807e-18, 0.041666666666666664, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, 0.041666666666666664, -1.734723475976807e-18, -1.734723475976807e-18, 0.041666666666666664, 0.041666666666666664, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, 0.041666666666666664, -1.734723475976807e-18, 0.04166666666666666, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, 0.041666666666666664, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, 0.041666666666666664, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, 0.041666666666666664, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, 0.041666666666666664, -1.734723475976807e-18, 0.041666666666666664, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, 0.04166666666666666, -1.734723475976807e-18, -1.734723475976807e-18, 0.04166666666666666, -1.734723475976807e-18, -1.734723475976807e-18, 0.041666666666666664, 0.041666666666666664, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, 0.041666666666666664, 0.04166666666666666, -1.734723475976807e-18, -1.734723475976807e-18, 0.041666666666666664, -1.734723475976807e-18, 0.041666666666666664, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, 0.04166666666666666, 0.04166666666666666, -1.734723475976807e-18, 0.04166666666666666, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, 0.041666666666666664, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, -1.734723475976807e-18, 0.04166666666666666]"
features,4,"[0.5367287885474133, 0.9999999999999999, 1.1102230246251565e-16, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, 0.045454545454545456, -3.469446951953614e-18, -3.469446951953614e-18, 0.045454545454545456, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, 0.045454545454545456, -3.469446951953614e-18, -3.469446951953614e-18, 0.045454545454545456, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, 0.04545454545454545, -3.469446951953614e-18, -3.469446951953614e-18, 0.04545454545454545, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, 0.045454545454545456, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, 0.045454545454545456, 0.04545454545454545, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, 0.04545454545454545, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, 0.045454545454545456, 0.045454545454545456, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, 0.04545454545454545, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, 0.04545454545454545, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, 0.045454545454545456, 0.04545454545454545, 0.045454545454545456, -3.469446951953614e-18, -3.469446951953614e-18, 0.045454545454545456, -3.469446951953614e-18, 0.04545454545454545, 0.045454545454545456, -3.469446951953614e-18, 0.045454545454545456, -3.469446951953614e-18, 0.045454545454545456, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18, -3.469446951953614e-18]"
interactions,0,"[0.0, 0.0, -0.5019047688023746, 1.3980613123239318]"
interactions,1,"[0.0, 0.0, 0.2006170576598235, -0.7113743617504283]"
interactions,2,"[0.0, 0.0, 1.6033736075138054, 0.11735882104099597]"
interactions,3,"[0.0, 0.0, -1.1342887677718734, -1.0410258433795219]"
interactions,4,"[0.0, 0.0, -0.17788192728305507, 0.31841006084174556]"
